experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
secgics_A8_ff_concat_f1_s42,cda27cd17c282e7dc3a231a3e6e1a44f0f3e0f7b41b8ddee65834db50aaeea70,42,1,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.029843907184213626,0.5352756065374074,0.6436799501867996,-0.6505639079819929,0.029346911168462872,0.7156638994538824,,,30436,9112,9851,18979,33,0.05251163276986758,1218.0132460594177,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f0_s42,fa60285a03399f68a0c903f422bf188c1d32b2c23028a3d4d98de81d5ad6d54f,42,0,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.008037724611197313,0.5012871287128713,0.5523064616478535,-0.00199865713406,0.034517028479543195,0.35299583368004794,,,23076,6372,10100,18979,52,0.02406906383563802,1309.011934041977,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f0_s123,1e938efe6cb069e523bb02b9bfcabcfc121c6fe8c3c24e3be40e3d34d23a84dc,123,0,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.010997096544035424,0.5058415841584158,0.5237140948563793,-0.0005621265764494954,0.03449227667446121,0.11703995198185757,,,23076,6372,10100,18979,65,0.020840494186799657,1460.3826777935028,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f1_s123,417db2fc3a902a3de9ccb5b956e21e9ddef4aa431d781ef1145ef663c5841f81,123,1,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.0020359796386554357,0.5067505836970866,0.5645667174478,-1.091007056795097,0.033031171321596296,0.077449005839005,,,30436,9112,9851,18979,32,0.03465408018790542,496.70478534698486,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f2_s42,ade1d48d56984974f5cb78b5bd1165534bf6f54be3e114f005f44b620461131a,42,2,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.0025644368641029778,0.5047599959915823,0.5664912280701754,-0.015098286602591715,0.023788665386709387,0.19251418606974388,,,38427,10972,9979,18979,52,0.03420208546573743,1720.5299241542816,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f2_s123,e2007a461084f0023179ed1794a462e04fecb703a1c52ef678c9342207197e46,123,2,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.010729580883144645,0.49423789958913716,0.4937305647507273,-0.12868630661639235,0.02508433881957837,-0.02941079148358577,,,38427,10972,9979,18979,35,0.033129937610388425,670.6812059879303,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f0_s456,983299ba181564c95e1ae8db0cd8094ad620b3c3aae9b309a6db68b0a04dc5dc,456,0,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.032833319075650645,0.5195049504950495,0.5559520541678105,-0.23803563526824,0.038367756383095364,0.011218059737478839,,,23076,6372,10100,18979,38,0.03022839897470915,443.268586397171,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f3_s42,754ab2840136a90c5d409520cda92c2c649ca47cc6b1b8b6a101bfddd7956b75,42,3,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.0035349540042827247,0.5022013207924755,0.5586800319347114,-0.006667174555818223,0.023032230400097886,0.6363819268298926,,,46657,12721,9994,18979,64,0.017037154425525246,2207.2944259643555,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f1_s456,b6374b2e8659c84d61337021207bdfc000f2e716f672460d152c0690c2379560,456,1,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.011883984516235445,0.5261394782255608,0.6313378613173274,-1.0362982633524638,0.03259619601319398,1.2654082987250972,,,30436,9112,9851,18979,33,0.0478501231947728,527.6201031208038,2.0.0-dev,5cc7bc2bda0e
secgics_A8_ff_concat_f3_s123,0d20d4c23d19c99da1be04873d86845eb75ff65d386559d4eb5193daadc62daf,123,3,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.026353790675470442,0.4816890134080448,0.39216146444496597,-0.008184335431225431,0.023049579949008355,-0.4901948818578585,,,46657,12721,9994,18979,45,0.018081642933024705,1075.4333639144897,2.0.0-dev,5cc7bc2bda0e
